clientId,clientName,clientType,rate,location,industry,holding,scale,maturity
C001,C001 Name,F,AAAA,SD,TTT,12899660,XXL,M07
C002,C002 Name,I,B,SD,IAT,15615569,M,M05
C003,C003 Name,D,AA,HK,SEV,19293865,M,M05
C004,C004 Name,G,AAA,SD,SEV,1269175,XXL,M06
C005,C005 Name,H,BB,SD,MKT,11192426,M,M01
C006,C006 Name,E,BBB,IR,LPG,19156030,M,M10
C007,C007 Name,A,AAA,EU,ENG,19468344,L,M04
C008,C008 Name,A,AAAA,TT,MKT,18336111,M,M02
C009,C009 Name,D,BBB,EU,IAT,10643050,M,M06
C010,C010 Name,G,A,HK,TTT,8397286,XS,M07
C011,C011 Name,B,B,RU,TTT,13839175,M,M06
C012,C012 Name,C,AAAA,SD,MKT,15469670,XS,M04
C013,C013 Name,C,BBBB,US,TTT,2847611,M,M08
C014,C014 Name,E,AAAA,IR,IAT,1953008,XS,M10
C015,C015 Name,E,A,AP,ENG,13965368,XXL,M08
C016,C016 Name,J,AAA,TT,LPG,7073842,XL,M07
C017,C017 Name,C,AAA,CN,ENG,5532983,XS,M01
C018,C018 Name,B,A,IR,IAT,6705444,XL,M04
C019,C019 Name,F,AAA,AP,ENG,15743491,S,M04
C020,C020 Name,B,AA,EU,MKT,12534612,S,M04
C021,C021 Name,A,A,EU,MKT,6310596,XS,M02
C022,C022 Name,F,AA,AP,MKT,7332901,XS,M01
C023,C023 Name,C,A,EU,LPG,9469454,XS,M10
C024,C024 Name,F,AA,TT,MKT,17060163,XXL,M10
C025,C025 Name,D,AA,CN,IAT,16234026,XS,M10
C026,C026 Name,D,AAAA,CN,TTT,14088097,XL,M06
C027,C027 Name,E,AAAA,IR,IAT,12527592,XL,M04
C028,C028 Name,F,BBB,RU,LPG,12527608,XXL,M04
C029,C029 Name,D,BBBB,AP,IAT,16824702,XXL,M08
C030,C030 Name,C,BBB,US,LPG,13690391,M,M07
C031,C031 Name,A,AAAA,AP,SEV,15336127,XL,M07
C032,C032 Name,F,BBBB,CN,TTT,10837616,XS,M03
C033,C033 Name,C,AA,HK,TTT,14652562,XS,M09
C034,C034 Name,J,BBB,HK,LPG,4936952,XXL,M03
C035,C035 Name,H,BBB,RU,ENG,10208791,L,M07
C036,C036 Name,A,BBB,CN,TTT,15171587,M,M01
C037,C037 Name,J,B,IR,TTT,3854101,XL,M01
C038,C038 Name,F,B,AP,TTT,6512258,XS,M05
C039,C039 Name,H,BBB,RU,ENG,234507,L,M01
C040,C040 Name,G,C,US,SEV,8558226,XXL,M05
C041,C041 Name,H,B,EU,SEV,12259052,XL,M04
C042,C042 Name,E,AAA,HK,MKT,7803463,XL,M02
C043,C043 Name,E,C,SD,ENG,18527038,XXL,M01
C044,C044 Name,C,C,EU,TTT,4131852,XS,M08
C045,C045 Name,H,AAAA,CN,MKT,14730819,S,M05
C046,C046 Name,G,BB,IR,IAT,18689080,M,M06
C047,C047 Name,D,BB,EU,ENG,4572232,XXL,M04
C048,C048 Name,E,BBBB,HK,TTT,1501207,L,M09
C049,C049 Name,F,A,CN,LPG,1801003,XS,M08
C050,C050 Name,C,A,RU,IAT,15865993,S,M01
C051,C051 Name,J,AAAA,CN,ENG,9469091,M,M04
C052,C052 Name,C,AAAA,CN,MKT,17702451,L,M02
C053,C053 Name,G,BBB,SD,IAT,7849369,XXL,M10
C054,C054 Name,F,A,US,IAT,17495433,XL,M03
C055,C055 Name,B,AA,HK,IAT,18754048,XL,M06
C056,C056 Name,H,AAAA,AP,LPG,19927438,M,M02
C057,C057 Name,H,AA,AP,ENG,10448924,XS,M01
C058,C058 Name,I,AAAA,AP,TTT,10342166,XL,M06
C059,C059 Name,B,BBB,US,MKT,6578235,XS,M06
C060,C060 Name,E,AA,EU,SEV,3915762,L,M09
C061,C061 Name,H,A,AP,TTT,11869473,XS,M10
C062,C062 Name,G,BBBB,US,ENG,14328286,XL,M06
C063,C063 Name,H,A,SD,SEV,12143779,S,M05
C064,C064 Name,J,AAA,SD,LPG,5786110,XL,M06
C065,C065 Name,C,B,CN,SEV,7927653,M,M10
C066,C066 Name,A,BBBB,TT,TTT,19502555,S,M08
C067,C067 Name,H,BBBB,IR,TTT,16731734,XL,M08
C068,C068 Name,G,A,EU,LPG,9359044,XS,M01
C069,C069 Name,C,AA,HK,LPG,12535712,XL,M01
